pair,direction,entry_time,exit_time,entry_price,initial_risk,exit_reason,n_levels_hit,fraction_via_tp,r_gross,cost_r,commission_r,r_net,leverage_ratio,risk_dollars,effective_risk_pct,leverage_capped,dollar_pnl,balance_after
USD_JPY,DOWN,2023-11-03 21:40:00+09:00,2023-11-04 05:55:00+09:00,149.431,0.358354,WEEKEND_NO_TP,0,0.0,0.022324,0.044649,0.01668,-0.039004,416.992113,10.0,0.01,False,-0.390039,999.609961
USD_JPY,DOWN,2023-11-15 02:15:00+09:00,2023-11-15 03:25:00+09:00,150.721,0.110857,SL_INITIAL_NO_TP,0,0.0,1.550009,0.189433,0.054384,1.306192,1359.594897,9.9961,0.01,False,13.056829,1012.66679
USD_JPY,DOWN,2023-11-15 03:30:00+09:00,2023-11-15 04:40:00+09:00,150.525,0.066969,SL_INITIAL_NO_TP,0,0.0,1.639571,0.313576,0.089907,1.236088,2247.669776,10.126668,0.01,False,12.51745,1025.18424
USD_JPY,DOWN,2023-11-15 05:20:00+09:00,2023-11-15 05:45:00+09:00,150.338,0.075287,SL_INITIAL_NO_TP,0,0.0,1.380022,0.278934,0.079875,1.021213,1996.876696,10.251842,0.01,False,10.469314,1035.653554
EUR_JPY,UP,2023-11-15 09:05:00+09:00,2023-11-15 12:00:00+09:00,163.754,0.130163,SL_INITIAL_NO_TP,0,0.0,0.819582,0.192067,0.050323,0.577192,1258.07011,10.356536,0.01,False,5.977711,1041.631266
AUD_JPY,UP,2023-11-15 11:10:00+09:00,2023-11-15 12:05:00+09:00,97.791,0.094669,SL_INITIAL_NO_TP,0,0.0,1.569573,0.285203,0.041319,1.243051,1032.974943,10.356536,0.01,False,12.873698,1054.504964
AUD_JPY,UP,2023-11-15 14:05:00+09:00,2023-11-15 14:25:00+09:00,97.874,0.042454,SL_INITIAL_NO_TP,0,0.0,0.276584,0.635977,0.092216,-0.451608,2305.393523,10.54505,0.01,False,-4.762233,1049.74273
AUD_JPY,UP,2023-11-15 14:30:00+09:00,2023-11-15 14:55:00+09:00,97.918,0.080308,SL_INITIAL_NO_TP,0,0.0,0.544627,0.336206,0.048771,0.15965,1219.280769,10.497427,0.01,False,1.675919,1051.418649
AUD_JPY,UP,2023-11-15 15:00:00+09:00,2023-11-15 15:35:00+09:00,97.957,0.047659,SL_INITIAL_NO_TP,0,0.0,0.586306,0.566519,0.082214,-0.062426,2055.350979,10.514186,0.01,False,-0.656362,1050.762287
AUD_JPY,UP,2023-11-15 15:40:00+09:00,2023-11-15 16:00:00+09:00,97.998,0.045157,SL_INITIAL_NO_TP,0,0.0,-1.0,0.597909,0.086806,-1.684715,2170.144716,10.507623,0.01,False,-17.70235,1033.059937
EUR_JPY,UP,2023-11-15 17:10:00+09:00,2023-11-15 17:30:00+09:00,163.916,0.173649,SL_INITIAL_NO_TP,0,0.0,-1.0,0.143969,0.037758,-1.181727,943.949764,10.330599,0.01,False,-12.207943,1020.851994
AUD_JPY,UP,2023-11-15 17:15:00+09:00,2023-11-15 17:30:00+09:00,98.076,0.060204,SL_INITIAL_NO_TP,0,0.0,0.277377,0.448471,0.065162,-0.236256,1629.047663,10.330599,0.01,False,-2.440668,1018.411327
AUD_JPY,UP,2023-11-15 20:15:00+09:00,2023-11-15 21:05:00+09:00,98.061,0.068626,SL_INITIAL_NO_TP,0,0.0,0.757191,0.393434,0.057156,0.3066,1428.910145,10.184113,0.01,False,3.122447,1021.533773
USD_JPY,DOWN,2023-11-15 22:05:00+09:00,2023-11-15 22:30:00+09:00,150.339,0.097133,SL_INITIAL_NO_TP,0,0.0,-1.0,0.216199,0.061911,-1.278109,1547.766682,10.215338,0.01,False,-13.056319,1008.477454
AUD_JPY,UP,2023-11-15 22:10:00+09:00,2023-11-15 22:30:00+09:00,98.144,0.066087,SL_INITIAL_NO_TP,0,0.0,-1.0,0.408553,0.059403,-1.467956,1485.074312,10.215338,0.01,False,-14.995664,993.48179
USD_JPY,UP,2023-11-15 22:40:00+09:00,2023-11-16 04:25:00+09:00,150.873,0.39271,SL_INITIAL_NO_TP,0,0.0,1.262734,0.053475,0.015367,1.193892,384.183979,9.934818,0.01,False,11.861099,1028.922194
AUD_JPY,UP,2023-11-15 23:15:00+09:00,2023-11-16 01:10:00+09:00,98.195,0.224224,SL_INITIAL_NO_TP,0,0.0,1.347517,0.120415,0.017517,1.209585,437.932464,9.934818,0.01,False,12.017003,1005.498793
EUR_JPY,UP,2023-11-16 00:05:00+09:00,2023-11-16 03:30:00+09:00,163.915,0.193131,SL_INITIAL_NO_TP,0,0.0,0.773216,0.129446,0.033949,0.609821,848.724441,9.934818,0.01,False,6.05846,1011.557253
AUD_JPY,UP,2023-11-16 01:25:00+09:00,2023-11-16 07:25:00+09:00,98.506,0.108481,SL_INITIAL_NO_TP,0,0.0,0.0,0.248891,0.036322,-0.285213,908.046022,10.054988,0.01,False,-2.86781,1007.786261
EUR_JPY,UP,2023-11-16 03:40:00+09:00,2023-11-16 04:05:00+09:00,164.096,0.045258,SL_INITIAL_NO_TP,0,0.0,1.486538,0.552391,0.145032,0.789115,3625.807083,6.974704,0.006895,True,5.503842,1017.061095
USD_JPY,UP,2023-11-16 05:05:00+09:00,2023-11-16 05:10:00+09:00,151.391,0.027822,SL_INITIAL_NO_TP,0,0.0,-1.0,0.754804,0.217658,-1.972462,5441.45518,4.727238,0.004594,True,-9.3243,1019.597895
EUR_JPY,UP,2023-11-16 05:20:00+09:00,2023-11-16 07:05:00+09:00,164.201,0.052898,SL_INITIAL_NO_TP,0,0.0,0.852088,0.47261,0.124165,0.255313,3104.122781,8.211643,0.008054,True,2.096537,1010.654072
USD_JPY,UP,2023-11-16 06:15:00+09:00,2023-11-16 07:00:00+09:00,151.414,0.038525,SL_INITIAL_NO_TP,0,0.0,-1.0,0.545104,0.157212,-1.702316,3930.300901,6.485495,0.006361,True,-11.04036,1008.557535
EUR_JPY,UP,2023-11-16 17:05:00+09:00,2023-11-16 17:40:00+09:00,164.174,0.103878,SL_INITIAL_NO_TP,0,0.0,0.815336,0.240668,0.063218,0.51145,1580.457751,10.077863,0.01,False,5.154319,1012.940581
GBP_JPY,DOWN,2023-11-17 16:45:00+09:00,2023-11-17 18:05:00+09:00,186.29,0.175601,SL_INITIAL_NO_TP,0,0.0,4.115176,0.165147,0.042435,3.907594,1060.869226,10.129406,0.01,False,39.58161,1052.522191
USD_JPY,DOWN,2023-11-17 17:40:00+09:00,2023-11-17 18:15:00+09:00,150.092,0.114533,SL_INITIAL_NO_TP,0,0.0,3.962731,0.183354,0.052419,3.726958,1310.472741,10.129406,0.01,False,37.751869,1090.27406
GBP_JPY,DOWN,2023-11-17 18:10:00+09:00,2023-11-17 18:45:00+09:00,185.441,0.278007,SL_INITIAL_NO_TP,0,0.0,-1.0,0.104314,0.026682,-1.130996,667.038018,10.525222,0.01,False,-11.903979,1078.370081
USD_JPY,DOWN,2023-11-17 18:20:00+09:00,2023-11-17 19:25:00+09:00,149.634,0.156674,SL_INITIAL_NO_TP,0,0.0,1.377759,0.134036,0.038203,1.20552,955.065062,10.902741,0.01,False,13.143475,1091.513555
