Symbol,FundingCount,DepthDays,OldestDatetime,NewestDatetime
10000NEXUSDT,271,45,2026-05-20T12:00:00.000Z,2026-07-04T12:00:00.000Z
1000BONKUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
AAVEUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
ADAUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
ARPAUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
AVAXUSDT,270,90,2026-04-06T00:00:00.000Z,2026-07-04T16:00:00.000Z
BASUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
BCHUSDT,270,90,2026-04-06T00:00:00.000Z,2026-07-04T16:00:00.000Z
BEATUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
BNBUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
BTCUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
CLUSDT,540,90,2026-04-05T20:00:00.000Z,2026-07-04T16:00:00.000Z
DOGEUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
ENAUSDT,540,90,2026-04-05T20:00:00.000Z,2026-07-04T16:00:00.000Z
EPICUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
ETHUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
FILUSDT,270,90,2026-04-06T00:00:00.000Z,2026-07-04T16:00:00.000Z
GWEIUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
HYPEUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
LABUSDT,836,90,2026-04-05T16:00:00.000Z,2026-07-04T15:00:00.000Z
LINKUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
LTCUSDT,100,33,2026-06-01T08:00:00.000Z,2026-07-04T08:00:00.000Z
MAGMAUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
MINIMAXUSDT,31,10,2026-06-24T08:00:00.000Z,2026-07-04T08:00:00.000Z
MIRAUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
MSTRUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
MUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
MUUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
NEARUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
OGNUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
PEPEUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
REUSDT,97,16,2026-06-18T12:00:00.000Z,2026-07-04T12:00:00.000Z
SKHYNIXUSDT,97,32,2026-06-02T08:00:00.000Z,2026-07-04T08:00:00.000Z
SLXUSDT,313,40,2026-05-25T12:00:00.000Z,2026-07-04T15:00:00.000Z
SOLUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
SOXLUSDT,261,87,2026-04-08T16:00:00.000Z,2026-07-04T08:00:00.000Z
SPCXUSDT,133,44,2026-05-21T08:00:00.000Z,2026-07-04T08:00:00.000Z
SUIUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
SYNUSDT,540,90,2026-04-05T20:00:00.000Z,2026-07-04T16:00:00.000Z
TAOUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
THEUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
TLMUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
VELVETUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
WLDUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
XAUUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
XLMUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
XPLUSDT,540,90,2026-04-05T16:00:00.000Z,2026-07-04T12:00:00.000Z
XRPUSDT,270,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
ZECUSDT,523,90,2026-04-05T16:00:00.000Z,2026-07-04T08:00:00.000Z
ZKPUSDT,100,17,2026-06-18T00:00:00.000Z,2026-07-04T12:00:00.000Z
