Rank,Symbol,OldestDate,NewestDate,CandleCount,GapRatio,Covers3Years,Covers2022FullYear,FundingCount,FundingOldest,FundingNewest
1,BNBUSDT,2019-07-08,2026-07-02,2524,0.000,YES,true,270,1775404800000,1783152000000
2,BTCUSDT,2019-07-09,2026-07-02,2523,0.000,YES,true,270,1775404800000,1783152000000
3,ETHUSDT,2019-08-09,2026-07-02,2493,0.000,YES,true,270,1775404800000,1783152000000
4,XRPUSDT,2019-08-27,2026-07-02,2475,0.000,YES,true,270,1775404800000,1783152000000
5,BCHUSDT,2019-09-23,2026-07-03,2449,0.000,YES,true,270,1775433600000,1783180800000
6,LINKUSDT,2020-08-04,2026-07-02,2136,0.000,YES,true,270,1775404800000,1783152000000
7,ADAUSDT,2020-08-18,2026-07-02,2122,0.000,YES,true,270,1775404800000,1783152000000
8,FILUSDT,2020-10-18,2026-07-02,2062,0.000,YES,true,270,1775433600000,1783180800000
9,AAVEUSDT,2021-03-15,2026-07-02,1915,0.000,YES,true,270,1775404800000,1783152000000
10,XLMUSDT,2021-03-18,2026-07-02,1912,0.000,YES,true,270,1775404800000,1783152000000
11,DOGEUSDT,2021-05-20,2026-07-02,1850,0.000,YES,true,270,1775404800000,1783152000000
12,SOLUSDT,2021-07-22,2026-07-02,1788,0.000,YES,true,270,1775404800000,1783152000000
13,AVAXUSDT,2021-09-28,2026-07-03,1721,0.000,YES,true,270,1775433600000,1783180800000
14,NEARUSDT,2021-12-22,2026-07-02,1636,0.000,YES,true,270,1775404800000,1783152000000
15,TLMUSDT,2023-03-31,2026-07-02,1177,0.000,NO,false,540,1775404800000,1783166400000
16,ARPAUSDT,2023-04-18,2026-07-02,1160,0.000,NO,false,270,1775404800000,1783152000000
17,SUIUSDT,2023-05-03,2026-07-02,1145,0.000,NO,false,270,1775404800000,1783152000000
18,PEPEUSDT,2023-05-04,2026-07-02,1144,0.000,NO,false,270,1775404800000,1783152000000
19,WLDUSDT,2023-07-24,2026-07-02,1064,0.000,NO,false,270,1775404800000,1783152000000
20,1000BONKUSDT,2024-03-08,2026-07-02,838,0.000,NO,false,540,1775404800000,1783166400000
21,ENAUSDT,2024-04-03,2026-07-03,813,0.000,NO,false,540,1775419200000,1783180800000
22,TAOUSDT,2024-04-10,2026-07-02,806,0.000,NO,false,540,1775404800000,1783166400000
23,SYNUSDT,2024-08-20,2026-07-03,676,0.000,NO,false,540,1775419200000,1783180800000
24,THEUSDT,2024-11-26,2026-07-02,578,0.000,NO,false,540,1775404800000,1783166400000
25,HYPEUSDT,2024-12-18,2026-07-02,556,0.000,NO,false,540,1775404800000,1783166400000
26,VELVETUSDT,2025-07-14,2026-07-02,351,0.000,NO,false,540,1775404800000,1783166400000
27,XPLUSDT,2025-08-25,2026-07-02,309,0.000,NO,false,540,1775404800000,1783166400000
28,MSTRUSDT,2025-08-26,2026-07-02,308,0.000,NO,false,270,1775404800000,1783152000000
29,ZECUSDT,2025-10-15,2026-07-02,259,0.000,NO,false,523,1775404800000,1783152000000
30,LABUSDT,2025-10-16,2026-07-02,258,0.000,NO,false,836,1775404800000,1783177200000
31,BEATUSDT,2025-11-11,2026-07-02,232,0.000,NO,false,540,1775404800000,1783166400000
32,XAUUSDT,2025-12-12,2026-07-02,201,0.000,NO,false,540,1775404800000,1783166400000
33,MAGMAUSDT,2025-12-28,2026-07-02,185,0.000,NO,false,540,1775404800000,1783166400000
34,MUUSDT,2026-02-10,2026-07-02,142,0.000,NO,false,270,1775404800000,1783152000000
35,CLUSDT,2026-03-15,2026-07-03,110,0.000,NO,false,540,1775419200000,1783180800000
36,BASUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
37,EPICUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
38,GWEIUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
39,LTCUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1780300800000,1783152000000
40,MIRAUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
41,MUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
42,OGNUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
43,ZKPUSDT,2026-04-04,2026-07-02,90,0.000,NO,false,100,1781740800000,1783166400000
44,SOXLUSDT,2026-04-08,2026-07-02,86,0.000,NO,false,261,1775664000000,1783152000000
45,10000NEXUSDT,2026-05-20,2026-07-02,44,0.000,NO,false,271,1779278400000,1783166400000
46,SLXUSDT,2026-05-31,2026-07-02,33,0.000,NO,false,313,1779710400000,1783177200000
47,SKHYNIXUSDT,2026-06-01,2026-07-02,32,0.000,NO,false,97,1780387200000,1783152000000
48,SPCXUSDT,2026-06-08,2026-07-02,25,0.000,NO,false,133,1779350400000,1783152000000
49,REUSDT,2026-06-17,2026-07-02,16,0.000,NO,false,97,1781784000000,1783166400000
50,MINIMAXUSDT,2026-06-23,2026-07-02,10,0.000,NO,false,31,1782288000000,1783152000000
