date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2022-05-01,0.0000,0.0000,1.2498,0.0000,1.2498
2022-05-02,14.7680,22.1381,2.9000,-7.3701,-4.4701
2022-05-03,-206.6727,-210.9506,3.0000,4.2779,7.2779
2022-05-04,519.7733,522.6594,2.2504,-2.8861,-0.6357
2022-05-05,-790.3830,-793.5944,3.0000,3.2114,6.2114
2022-05-06,-147.5120,-147.6405,-1.4997,0.1285,-1.3712
2022-05-07,-150.3258,-146.8525,0.1438,-3.4733,-3.3295
2022-05-08,-404.2553,-404.5203,1.7341,0.2650,1.9991
2022-05-09,-1164.0059,-1168.1359,3.0000,4.1299,7.1299
2022-05-10,312.8010,314.5732,3.0000,-1.7722,1.2278
2022-05-11,-616.8081,-621.6998,1.1007,4.8917,5.9924
2022-05-12,-25.4914,-18.5728,-7.5446,-6.9185,-14.4631
2022-05-13,88.6332,87.3859,-0.1687,1.2473,1.0786
2022-05-14,273.0524,275.1560,3.0000,-2.1036,0.8964
2022-05-15,412.8563,413.7660,2.7343,-0.9098,1.8245
2022-05-16,-464.3893,-465.3561,2.3823,0.9668,3.3491
2022-05-17,191.1093,190.9484,1.3995,0.1608,1.5603
2022-05-18,-568.1110,-570.4899,-0.9816,2.3789,1.3973
2022-05-19,558.5555,564.2042,1.2748,-5.6487,-4.3739
2022-05-20,-368.8154,-373.0223,3.0000,4.2069,7.2069
2022-05-21,83.5759,81.7091,0.0201,1.8667,1.8868
2022-05-22,288.2928,291.0893,0.9347,-2.7964,-1.8617
2022-05-23,-391.0980,-391.7250,3.0000,0.6270,3.6270
2022-05-24,187.3741,187.4375,-1.0156,-0.0634,-1.0790
2022-05-25,-37.9132,-35.8937,2.3679,-2.0195,0.3484
2022-05-26,-115.3606,-116.0251,1.8237,0.6646,2.4883
2022-05-27,-195.7273,-195.5196,3.0000,-0.2076,2.7924
2022-05-28,140.2490,138.2096,2.8712,2.0394,4.9106
2022-05-29,150.4478,149.5582,3.0000,0.8896,3.8896
2022-05-30,769.0078,771.9809,3.0000,-2.9731,0.0269
2022-05-31,21.0561,22.4733,3.0000,-1.4172,1.5828
2022-06-01,-627.4040,-629.2574,3.0000,1.8534,4.8534
2022-06-02,217.0012,214.8546,0.2920,2.1466,2.4386
2022-06-03,-247.0756,-247.8226,0.2103,0.7469,0.9572
2022-06-04,55.1612,55.7899,1.0571,-0.6287,0.4284
2022-06-05,18.4737,20.6041,1.1939,-2.1304,-0.9365
2022-06-06,485.9386,485.2240,2.5692,0.7147,3.2839
2022-06-07,-78.9753,-77.5162,-0.3939,-1.4591,-1.8530
2022-06-08,-295.7591,-297.4475,3.0000,1.6884,4.6884
2022-06-09,-31.3990,-32.8558,2.9106,1.4568,4.3674
2022-06-10,-338.1110,-337.4838,2.2792,-0.6273,1.6519
2022-06-11,-229.3355,-227.3220,0.8747,-2.0135,-1.1388
2022-06-12,-650.9022,-651.7294,1.1002,0.8272,1.9274
2022-06-13,-1537.9839,-1540.8418,0.1854,2.8579,3.0433
2022-06-14,-156.0873,-155.2188,-1.1135,-0.8685,-1.9820
2022-06-15,202.0698,201.0604,-0.9983,1.0094,0.0111
2022-06-16,-966.3643,-966.0352,-0.4916,-0.3290,-0.8206
2022-06-17,33.0861,34.2859,-0.6616,-1.1998,-1.8614
2022-06-18,-731.8550,-732.0614,1.7158,0.2065,1.9223
2022-06-19,845.0940,846.2687,0.6923,-1.1747,-0.4824
2022-06-20,-0.0535,2.8691,0.6413,-2.9225,-2.2812
2022-06-21,72.7281,69.5184,1.6995,3.2097,4.9092
2022-06-22,-354.9252,-355.1858,-0.4444,0.2606,-0.1838
2022-06-23,561.4071,560.2331,-0.5105,1.1741,0.6636
2022-06-24,60.4260,63.8018,2.6006,-3.3758,-0.7752
2022-06-25,119.3633,118.0809,2.2621,1.2823,3.5444
2022-06-26,-210.8399,-210.7821,2.0669,-0.0578,2.0091
2022-06-27,-140.4644,-142.2315,1.7455,1.7671,3.5126
2022-06-28,-222.3785,-222.5760,-0.5764,0.1974,-0.3790
2022-06-29,-78.0424,-78.2985,1.7842,0.2561,2.0403
2022-06-30,-89.8474,-92.6907,-2.0714,2.8433,0.7719
