date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2021-01-01,0.0000,0.0000,8.3546,0.0000,8.3546
2021-01-02,970.4998,975.8102,14.5622,-5.3104,9.2518
2021-01-03,255.3644,265.4107,39.3808,-10.0463,29.3345
2021-01-04,-306.4662,-309.6278,45.6745,3.1616,48.8361
2021-01-05,612.9725,614.5439,19.8408,-1.5714,18.2694
2021-01-06,830.5947,830.6470,48.6454,-0.0523,48.5931
2021-01-07,724.2226,726.4999,34.2901,-2.2773,32.0128
2021-01-08,291.7736,288.1876,43.7453,3.5860,47.3313
2021-01-09,-121.8718,-123.3327,27.6814,1.4609,29.1423
2021-01-10,-483.4837,-476.9703,31.9224,-6.5134,25.4090
2021-01-11,-719.6720,-736.0249,22.1483,16.3529,38.5012
2021-01-12,-382.2201,-381.7054,13.9326,-0.5147,13.4179
2021-01-13,975.0423,987.8086,10.7888,-12.7663,-1.9775
2021-01-14,474.4593,465.5773,21.9461,8.8821,30.8282
2021-01-15,-613.6954,-614.8791,23.8296,1.1837,25.0133
2021-01-16,-203.3737,-198.4969,11.1069,-4.8768,6.2301
2021-01-17,-46.2203,-43.2553,7.3385,-2.9651,4.3734
2021-01-18,224.0277,227.7764,20.8246,-3.7487,17.0759
2021-01-19,-201.9531,-216.9251,36.0227,14.9719,50.9946
2021-01-20,-117.9277,-108.9492,12.2627,-8.9784,3.2843
2021-01-21,-1302.0385,-1301.4169,11.7024,-0.6216,11.0808
2021-01-22,679.1025,682.1153,3.0000,-3.0128,-0.0128
2021-01-23,-263.2161,-272.7978,3.2182,9.5816,12.7998
2021-01-24,56.7055,58.9501,6.5756,-2.2445,4.3311
2021-01-25,-1.7669,-6.8008,10.4667,5.0339,15.5006
2021-01-26,66.2146,68.3519,3.3506,-2.1373,1.2133
2021-01-27,-647.2942,-644.5436,3.0000,-2.7506,0.2494
2021-01-28,987.5174,993.6164,4.2262,-6.0991,-1.8729
2021-01-29,265.9505,260.3612,24.1592,5.5892,29.7484
2021-01-30,3.1180,5.9820,12.4836,-2.8640,9.6196
2021-01-31,-341.4482,-339.3541,14.5295,-2.0942,12.4353
2021-02-01,130.9613,126.7516,11.8341,4.2097,16.0438
2021-02-02,578.6102,583.6656,20.3246,-5.0554,15.2692
2021-02-03,606.9519,605.1280,23.3389,1.8239,25.1628
2021-02-04,-181.3478,-179.4250,16.5285,-1.9229,14.6056
2021-02-05,366.4598,374.7526,23.0627,-8.2928,14.7699
2021-02-06,234.1850,231.1858,20.6980,2.9992,23.6972
2021-02-07,-99.8419,-101.9859,32.6873,2.1440,34.8313
2021-02-08,1953.6139,1956.8126,36.6147,-3.1986,33.4161
2021-02-09,9.8221,8.8738,47.8857,0.9483,48.8340
2021-02-10,-347.4419,-353.2911,41.2060,5.8492,47.0552
2021-02-11,705.6685,715.7659,33.3922,-10.0973,23.2949
2021-02-12,-142.1549,-145.4800,35.9935,3.3251,39.3186
2021-02-13,-28.3182,-29.4356,35.7554,1.1174,36.8728
2021-02-14,302.0124,303.5876,38.0722,-1.5752,36.4970
2021-02-15,-137.2417,-138.4497,22.6610,1.2080,23.8690
2021-02-16,255.1288,253.5056,36.4964,1.6232,38.1196
2021-02-17,607.7855,609.1068,34.4614,-1.3213,33.1401
2021-02-18,-108.8091,-110.1493,41.2394,1.3402,42.5796
2021-02-19,844.4579,849.3656,30.4572,-4.9078,25.5494
2021-02-20,-11.5927,-15.4792,39.5318,3.8866,43.4184
2021-02-21,280.6853,280.7748,32.5199,-0.0895,32.4304
2021-02-22,-578.4676,-585.5767,28.6695,7.1091,35.7786
2021-02-23,-960.7864,-959.1638,6.7848,-1.6226,5.1622
2021-02-24,160.6022,157.7825,9.9080,2.8196,12.7276
2021-02-25,-523.8867,-525.6646,7.0006,1.7780,8.7786
2021-02-26,-169.2791,-164.8440,3.0000,-4.4351,-1.4351
2021-02-27,-36.8305,-45.4515,8.4772,8.6210,17.0982
2021-02-28,-210.5498,-203.7346,5.7706,-6.8152,-1.0446
2021-03-01,986.2202,980.7375,3.6921,5.4827,9.1748
2021-03-02,-231.1855,-230.3020,3.0000,-0.8834,2.1166
2021-03-03,394.0327,396.9365,6.5078,-2.9038,3.6040
2021-03-04,-392.3147,-394.6460,3.0000,2.3313,5.3313
2021-03-05,78.0625,79.5275,3.0000,-1.4651,1.5349
2021-03-06,26.7662,28.2219,3.0000,-1.4557,1.5443
2021-03-07,427.4664,426.7300,3.7606,0.7364,4.4970
2021-03-08,275.3329,281.2339,4.4757,-5.9010,-1.4253
2021-03-09,479.1068,474.6094,17.1433,4.4974,21.6407
2021-03-10,176.2046,187.5895,12.9845,-11.3849,1.5996
2021-03-11,344.0493,338.9827,28.0675,5.0665,33.1340
2021-03-12,-95.4492,-95.6858,22.0348,0.2366,22.2714
2021-03-13,693.2106,694.0668,16.5515,-0.8562,15.6953
2021-03-14,-362.8270,-364.0255,28.1490,1.1985,29.3475
2021-03-15,-570.3250,-574.3014,20.2996,3.9764,24.2760
2021-03-16,232.9908,234.9793,9.9108,-1.9885,7.9223
2021-03-17,353.6368,352.0040,7.9176,1.6329,9.5505
2021-03-18,-214.6913,-213.5365,9.2071,-1.1547,8.0524
2021-03-19,66.2380,67.4350,7.8153,-1.1970,6.6183
2021-03-20,12.4539,9.7264,14.2668,2.7275,16.9943
2021-03-21,-129.2066,-125.6208,8.3741,-3.5858,4.7883
2021-03-22,-569.8729,-572.2563,14.6458,2.3834,17.0292
2021-03-23,47.6377,49.9616,9.3074,-2.3239,6.9835
2021-03-24,-374.9000,-383.9081,9.6443,9.0081,18.6524
2021-03-25,-193.0783,-188.5492,3.1828,-4.5291,-1.3463
2021-03-26,727.5366,721.8266,3.6000,5.7100,9.3100
2021-03-27,143.8513,145.0118,3.0000,-1.1606,1.8394
2021-03-28,-7.0785,-4.1055,3.0000,-2.9730,0.0270
2021-03-29,333.0798,335.5537,3.8171,-2.4739,1.3432
2021-03-30,192.7806,193.5793,14.2785,-0.7988,13.4797
