date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2022-10-25,0.0000,0.0000,-0.0133,0.0000,-0.0133
2022-10-26,728.6229,728.1387,1.7548,0.4842,2.2390
2022-10-27,-332.3543,-330.5759,0.9934,-1.7784,-0.7850
2022-10-28,266.5698,264.8477,0.8184,1.7221,2.5405
2022-10-29,419.0658,418.5250,2.4410,0.5407,2.9817
2022-10-30,-179.7413,-178.7104,2.7031,-1.0309,1.6722
2022-10-31,-111.6043,-112.4606,1.6020,0.8563,2.4583
2022-11-01,36.8159,37.3407,-0.3585,-0.5248,-0.8833
2022-11-02,-380.9994,-384.1864,1.6404,3.1869,4.8273
2022-11-03,83.4464,85.7467,-1.6369,-2.3003,-3.9372
2022-11-04,743.1042,743.7903,2.0691,-0.6861,1.3830
2022-11-05,-108.2212,-109.3614,1.6490,1.1402,2.7892
2022-11-06,-360.7297,-360.9227,2.2040,0.1930,2.3970
2022-11-07,-1.2115,0.6380,1.2322,-1.8495,-0.6173
2022-11-08,-1487.9791,-1493.5695,-0.9384,5.5904,4.6520
2022-11-09,-1738.4268,-1739.2380,-10.5347,0.8112,-9.7235
2022-11-10,1782.3946,1785.9445,-12.9913,-3.5499,-16.5412
2022-11-11,-76.9657,-73.7169,-2.7549,-3.2488,-6.0037
2022-11-12,-248.4332,-246.9270,2.4832,-1.5062,0.9770
2022-11-13,-284.4303,-286.7555,-1.1125,2.3252,1.2127
2022-11-14,178.3887,181.1137,1.0301,-2.7250,-1.6949
2022-11-15,80.0302,79.8140,-0.7890,0.2163,-0.5727
2022-11-16,-295.7159,-295.5755,-1.3574,-0.1403,-1.4977
2022-11-17,-129.4227,-132.2608,-1.7685,2.8381,1.0696
2022-11-18,101.2137,102.8590,-2.0738,-1.6453,-3.7191
2022-11-19,41.9766,40.1802,1.6884,1.7964,3.4848
2022-11-20,-619.7081,-619.1091,0.4099,-0.5991,-0.1892
2022-11-21,-305.2854,-303.2666,-1.7963,-2.0188,-3.8151
2022-11-22,291.3288,290.5280,-0.3076,0.8007,0.4931
2022-11-23,394.1734,392.5872,-0.7405,1.5862,0.8457
2022-11-24,162.1754,161.2563,0.2621,0.9191,1.1812
2022-11-25,-36.8023,-36.3283,0.7997,-0.4740,0.3257
2022-11-26,52.5306,52.4801,-1.6692,0.0506,-1.6186
2022-11-27,-97.2130,-96.1123,-1.2330,-1.1007,-2.3337
2022-11-28,-218.6987,-218.3095,-1.4532,-0.3892,-1.8424
2022-11-29,417.2054,415.7778,1.6778,1.4276,3.1054
2022-11-30,640.9424,643.8877,2.9218,-2.9453,-0.0235
2022-12-01,-139.4404,-141.5743,1.1656,2.1339,3.2995
2022-12-02,150.2652,151.2895,1.4626,-1.0243,0.4383
2022-12-03,-425.1345,-426.5637,-0.5511,1.4292,0.8781
2022-12-04,313.5807,315.0610,-0.1547,-1.4803,-1.6350
2022-12-05,-156.3221,-157.6453,0.8685,1.3233,2.1918
2022-12-06,94.5681,95.8162,0.9934,-1.2481,-0.2547
2022-12-07,-315.7348,-313.9165,0.8391,-1.8183,-0.9792
2022-12-08,397.9922,397.2929,0.1715,0.6993,0.8708
2022-12-09,-133.4187,-136.1225,2.1755,2.7037,4.8792
2022-12-10,25.7303,28.2815,1.1574,-2.5511,-1.3937
2022-12-11,-26.3750,-27.2538,0.1017,0.8788,0.9805
2022-12-12,98.0990,98.6193,-0.1208,-0.5203,-0.6411
2022-12-13,355.1043,362.2302,2.8949,-7.1259,-4.2310
2022-12-14,-100.3263,-100.6767,3.0000,0.3504,3.3504
2022-12-15,-312.8251,-317.3365,3.0000,4.5115,7.5115
