date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2021-01-01,0.0000,0.0000,15.2435,0.0000,15.2435
2021-01-02,626.2776,620.0584,18.3991,6.2192,24.6183
2021-01-03,2630.1384,2647.9317,30.7906,-17.7933,12.9973
2021-01-04,645.5207,641.3735,75.5981,4.1472,79.7453
2021-01-05,558.1748,557.7552,24.8387,0.4196,25.2583
2021-01-06,990.0324,1011.0870,65.7956,-21.0546,44.7410
2021-01-07,136.1282,119.4089,45.7070,16.7193,62.4263
2021-01-08,-64.8232,-71.1422,38.6553,6.3190,44.9743
2021-01-09,485.4018,505.3390,29.3210,-19.9372,9.3838
2021-01-10,-170.4545,-171.8804,66.9490,1.4258,68.3748
2021-01-11,-1333.3865,-1359.5027,28.3478,26.1162,54.4640
2021-01-12,-339.0033,-332.3091,11.3143,-6.6943,4.6200
2021-01-13,759.2176,757.3133,8.9675,1.9043,10.8718
2021-01-14,900.3531,924.0977,17.8744,-23.7445,-5.8701
2021-01-15,-512.2522,-535.0404,17.0524,22.7883,39.8407
2021-01-16,507.4752,525.3296,22.1535,-17.8544,4.2991
2021-01-17,37.6274,28.6135,20.7653,9.0139,29.7792
2021-01-18,210.9619,237.3329,24.6957,-26.3710,-1.6753
2021-01-19,849.5371,827.5600,51.9048,21.9771,73.8819
2021-01-20,85.1790,85.7763,27.5140,-0.5973,26.9167
2021-01-21,-1931.9676,-1943.1716,13.8237,11.2040,25.0277
2021-01-22,1095.0889,1109.7613,4.6988,-14.6723,-9.9735
2021-01-23,7.9505,8.9911,6.4409,-1.0406,5.4003
2021-01-24,1288.1809,1283.3627,24.6076,4.8182,29.4258
2021-01-25,-535.9387,-542.4461,24.9741,6.5074,31.4815
2021-01-26,364.9042,377.5946,7.5988,-12.6903,-5.0915
2021-01-27,-929.3030,-948.9184,5.6342,19.6155,25.2497
2021-01-28,731.7014,737.2331,8.1678,-5.5316,2.6362
2021-01-29,374.5986,391.9961,41.5624,-17.3976,24.1648
2021-01-30,-10.5111,-10.9263,20.4710,0.4152,20.8862
2021-01-31,-475.3093,-487.9462,30.0844,12.6369,42.7213
2021-02-01,469.4678,482.5149,14.2137,-13.0471,1.1666
2021-02-02,1002.0594,1015.4888,33.6949,-13.4294,20.2655
2021-02-03,1009.4783,987.5615,47.5380,21.9168,69.4548
2021-02-04,-413.4600,-420.1681,42.6630,6.7081,49.3711
2021-02-05,774.0949,784.2105,44.5631,-10.1156,34.4475
2021-02-06,-249.1871,-242.9757,36.8093,-6.2114,30.5979
2021-02-07,-386.1365,-401.0504,28.7981,14.9139,43.7120
2021-02-08,859.5699,890.9485,33.4285,-31.3786,2.0499
2021-02-09,108.4478,86.4657,56.4097,21.9822,78.3919
2021-02-10,-160.2483,-155.1850,46.0005,-5.0633,40.9372
2021-02-11,257.5857,263.9232,31.8406,-6.3375,25.5031
2021-02-12,306.0002,300.4493,29.6485,5.5508,35.1993
2021-02-13,-137.4806,-135.9681,49.6040,-1.5125,48.0915
2021-02-14,-80.1120,-79.3721,41.1867,-0.7399,40.4468
2021-02-15,-117.5837,-123.3651,17.4433,5.7814,23.2247
2021-02-16,15.3997,16.6728,33.1863,-1.2731,31.9132
2021-02-17,380.9786,367.3689,43.1126,13.6097,56.7223
2021-02-18,485.0585,494.0914,51.6012,-9.0330,42.5682
2021-02-19,79.3458,89.2204,39.0847,-9.8746,29.2101
2021-02-20,-214.8338,-224.6526,57.1985,9.8188,67.0173
2021-02-21,107.3183,105.3495,20.2299,1.9689,22.1988
2021-02-22,-806.5559,-808.6316,15.9548,2.0757,18.0305
2021-02-23,-1123.3812,-1116.5158,4.6168,-6.8655,-2.2487
2021-02-24,288.3598,279.9810,8.1524,8.3788,16.5312
2021-02-25,-872.4952,-873.7177,7.2948,1.2224,8.5172
2021-02-26,-250.7845,-248.3655,6.2588,-2.4191,3.8397
2021-02-27,93.7290,92.5080,9.0141,1.2210,10.2351
2021-02-28,-267.1230,-266.5478,3.0000,-0.5751,2.4249
2021-03-01,1061.7399,1066.5812,9.2546,-4.8413,4.4133
2021-03-02,-529.2192,-540.4786,12.4405,11.2594,23.6999
2021-03-03,544.1962,554.0679,10.7091,-9.8717,0.8374
2021-03-04,-181.5410,-178.1172,9.6540,-3.4238,6.2302
2021-03-05,-70.9446,-70.1634,5.7446,-0.7812,4.9634
2021-03-06,798.5291,796.4677,12.1879,2.0614,14.2493
2021-03-07,459.3571,457.0965,14.6686,2.2606,16.9292
2021-03-08,619.9889,619.8943,11.2303,0.0946,11.3249
2021-03-09,203.6352,212.6697,20.1731,-9.0345,11.1386
2021-03-10,-403.0452,-408.4215,21.5631,5.3763,26.9394
2021-03-11,170.7964,179.2075,19.4291,-8.4111,11.0180
2021-03-12,-326.8740,-336.5774,23.9347,9.7034,33.6381
2021-03-13,884.7177,891.1194,22.5521,-6.4016,16.1505
2021-03-14,-386.2460,-386.5056,33.0879,0.2596,33.3475
2021-03-15,-295.5468,-300.7230,17.1886,5.1763,22.3649
2021-03-16,64.9018,68.8622,9.5321,-3.9604,5.5717
2021-03-17,102.2647,102.4761,13.1004,-0.2115,12.8889
2021-03-18,-260.4766,-264.1625,20.5340,3.6859,24.2199
2021-03-19,185.9150,188.4627,5.7762,-2.5477,3.2285
2021-03-20,-16.5828,-20.3750,21.5557,3.7922,25.3479
2021-03-21,-128.0106,-125.4876,9.7328,-2.5230,7.2098
2021-03-22,-572.1320,-577.0254,14.1372,4.8934,19.0306
2021-03-23,-76.6819,-73.4975,6.2989,-3.1844,3.1145
2021-03-24,-517.0016,-522.4851,10.2953,5.4835,15.7788
2021-03-25,24.6548,34.0684,5.5938,-9.4136,-3.8198
2021-03-26,713.2317,703.1811,6.2431,10.0506,16.2937
2021-03-27,81.1730,89.5164,5.9989,-8.3434,-2.3445
2021-03-28,-149.5945,-151.8952,8.6716,2.3007,10.9723
2021-03-29,768.9937,770.8346,15.0071,-1.8409,13.1662
2021-03-30,130.5635,137.4255,16.7310,-6.8619,9.8691
2021-03-31,428.7515,432.0207,22.2190,-3.2692,18.9498
2021-04-01,253.6249,242.6849,33.0758,10.9400,44.0158
2021-04-02,841.6453,854.2752,28.8819,-12.6299,16.2520
2021-04-03,-586.6363,-586.4332,31.2506,-0.2031,31.0475
2021-04-04,334.4253,323.4574,20.4783,10.9680,31.4463
2021-04-05,152.6721,156.9983,23.2702,-4.3261,18.9441
2021-04-06,22.9195,19.5228,28.7097,3.3966,32.1063
2021-04-07,-704.1913,-704.9994,15.1648,0.8080,15.9728
2021-04-08,595.8329,593.6705,7.9998,2.1624,10.1622
2021-04-09,-65.3221,-67.5286,14.6258,2.2065,16.8323
2021-04-10,322.3231,328.5268,33.9920,-6.2037,27.7883
2021-04-11,83.7595,89.3743,23.3349,-5.6149,17.7200
2021-04-12,-63.5412,-73.3162,33.2031,9.7750,42.9781
2021-04-13,755.4884,766.1564,33.2562,-10.6680,22.5882
2021-04-14,580.2478,581.5079,45.2007,-1.2601,43.9406
2021-04-15,334.7858,339.6278,32.8521,-4.8419,28.0102
2021-04-16,-363.4389,-367.3235,39.0636,3.8845,42.9481
2021-04-17,-433.6951,-442.8395,23.8568,9.1445,33.0013
2021-04-18,-353.6417,-364.1693,11.8755,10.5276,22.4031
2021-04-19,-333.3274,-324.6515,7.1920,-8.6759,-1.4839
2021-04-20,781.5855,773.1361,4.1279,8.4494,12.5773
2021-04-21,116.0071,124.2081,3.0000,-8.2011,-5.2011
2021-04-22,173.4364,169.7401,4.4466,3.6963,8.1429
2021-04-23,-127.4010,-126.1807,9.0243,-1.2203,7.8040
2021-04-24,-650.6744,-646.4809,5.0391,-4.1934,0.8457
2021-04-25,484.0626,474.6924,3.0000,9.3702,12.3702
2021-04-26,914.0742,920.1494,3.0000,-6.0753,-3.0753
2021-04-27,527.2447,529.3085,6.0663,-2.0637,4.0026
2021-04-28,307.9745,299.5814,6.3355,8.3931,14.7286
2021-04-29,32.0205,39.3330,3.0000,-7.3125,-4.3125
2021-04-30,55.7845,50.7767,7.7490,5.0078,12.7568
2021-05-01,621.6591,626.9405,5.7417,-5.2814,0.4603
2021-05-02,16.2661,13.4713,7.3173,2.7948,10.1121
2021-05-03,1632.3791,1634.6434,8.1627,-2.2643,5.8984
2021-05-04,-559.6845,-552.4909,17.4031,-7.1937,10.2094
2021-05-05,880.6703,878.0795,20.4659,2.5909,23.0568
2021-05-06,-97.9780,-100.1278,24.5773,2.1498,26.7271
2021-05-07,-29.2286,-34.8681,11.3204,5.6395,16.9599
2021-05-08,1237.8971,1245.3102,14.7484,-7.4132,7.3352
