[2026-07-05T22:19:04.202Z] BTC ALERT sign_agreement_rolling30_below70 rate=66.66666666666666
[2026-07-05T22:19:45.440Z] BTC ALERT sign_agreement_rolling30_below70 rate=66.66666666666666
[2026-07-09T22:32:06.309Z] no alerts triggered this run
[2026-07-10T04:51:59.923Z] no alerts triggered this run
[2026-07-11T01:11:34.019Z] no alerts triggered this run
[2026-07-11T04:12:29.115Z] no alerts triggered this run
[2026-07-12T04:24:39.660Z] no alerts triggered this run
[2026-07-12T07:01:30.541Z] no alerts triggered this run
[2026-07-13T04:29:43.487Z] no alerts triggered this run
[2026-07-14T03:56:28.640Z] no alerts triggered this run
[2026-07-15T03:57:40.201Z] no alerts triggered this run
[2026-07-15T10:56:06.694Z] no alerts triggered this run
[2026-07-16T04:08:34.466Z] no alerts triggered this run
[2026-07-17T04:06:11.542Z] no alerts triggered this run
