event_hour_utc,date_utc,bitget_funding_rate,binance_funding_rate,match
2026-07-04T00,2026-07-04,-0.000082,0.0001,0
2026-07-04T08,2026-07-04,0.00001,0.0001,1
2026-07-04T16,2026-07-04,0.000008,0.0000948,1
2026-07-05T00,2026-07-05,-0.000029,0.00009533,0
2026-07-05T08,2026-07-05,0.000051,0.00008873,1
2026-07-05T16,2026-07-05,0.000023,0.00008608,1
2026-07-06T00,2026-07-06,0.000003,0.000077,1
2026-07-06T08,2026-07-06,0.000048,0.0000612,1
2026-07-06T16,2026-07-06,0.0001,0.0001,1
2026-07-07T00,2026-07-07,0.000065,0.0001,1
2026-07-07T08,2026-07-07,0.000093,0.00005792,1
2026-07-07T16,2026-07-07,0.000028,0.00006825,1
2026-07-08T00,2026-07-08,0.00004,0.00004846,1
2026-07-08T08,2026-07-08,0.000072,0.00000724,1
2026-07-08T16,2026-07-08,0.0001,0.00007171,1
2026-07-09T00,2026-07-09,0.00004,0.0000616,1
2026-07-09T08,2026-07-09,-0.000023,0.00006615,0
2026-07-09T16,2026-07-09,0.000024,0.00004912,1
2026-07-10T00,2026-07-10,0.000018,0.00009058,1
2026-07-10T08,2026-07-10,-0.00005,0.00007247,0
2026-07-10T16,2026-07-10,0.00003,0.00009508,1
2026-07-11T00,2026-07-11,0.0001,0.0001,1
2026-07-11T08,2026-07-11,-0.000009,0.00000942,0
2026-07-11T16,2026-07-11,0.000003,0.00004156,1
2026-07-12T00,2026-07-12,0.000035,0.00004651,1
2026-07-12T08,2026-07-12,0.000072,0.00006315,1
2026-07-12T16,2026-07-12,0.000061,0.00007578,1
2026-07-13T00,2026-07-13,0.000052,0.00001521,1
2026-07-13T08,2026-07-13,0.0001,0.00004856,1
2026-07-13T16,2026-07-13,0.0001,0.0001,1
2026-07-14T00,2026-07-14,0.0001,0.00008256,1
2026-07-14T08,2026-07-14,0.000051,0.00003489,1
2026-07-14T16,2026-07-14,-0.00003,0.0000559,0
2026-07-15T00,2026-07-15,0.00009,0.0001,1
2026-07-15T08,2026-07-15,0.00009,0.0001,1
2026-07-15T16,2026-07-15,0.000027,0.00004457,1
2026-07-16T00,2026-07-16,0.000041,0.00002426,1
2026-07-16T08,2026-07-16,0.00006,0.00007584,1
2026-07-16T16,2026-07-16,0.000051,0.00006102,1
2026-07-17T00,2026-07-17,0.000063,0.00007639,1
2026-07-17T08,2026-07-17,0.0001,0.0000152,1
2026-07-17T16,2026-07-17,0.000082,0.00006045,1
2026-07-18T00,2026-07-18,-0.00001,0.00003074,0
2026-07-18T08,2026-07-18,0.000049,0.00006955,1
2026-07-18T16,2026-07-18,-0.000016,0.00003326,0
2026-07-19T00,2026-07-19,-0.000052,0.00000406,0
2026-07-19T08,2026-07-19,0.000003,0.00006905,1
2026-07-19T16,2026-07-19,0.000069,0.00005235,1
2026-07-20T00,2026-07-20,0.000065,0.0000489,1
2026-07-20T08,2026-07-20,0.000056,0.00005278,1
2026-07-20T16,2026-07-20,0.000041,0.00006518,1
2026-07-21T00,2026-07-21,0.000011,0.000054,1
2026-07-21T08,2026-07-21,-0.000007,0.00008926,0
2026-07-21T16,2026-07-21,-0.000118,0.00001894,0
2026-07-22T00,2026-07-22,0.000007,0.00003928,1
2026-07-22T08,2026-07-22,0.00002,0.00005448,1
2026-07-22T16,2026-07-22,0.000031,0.00001443,1
2026-07-23T00,2026-07-23,0.000025,-0.00000343,0
2026-07-23T08,2026-07-23,0.00002,0.00000271,1
2026-07-23T16,2026-07-23,0.0001,0.00008458,1
2026-07-24T00,2026-07-24,0.000062,0.00007598,1
2026-07-24T08,2026-07-24,0.000021,0.00005149,1
2026-07-24T16,2026-07-24,0.0001,0.00005879,1
2026-07-25T00,2026-07-25,0.0001,0.00006074,1
2026-07-25T08,2026-07-25,0.000051,0.00005425,1
2026-07-25T16,2026-07-25,0.000023,0.00000729,1
2026-07-26T00,2026-07-26,-0.000002,0.00003878,0
2026-07-26T08,2026-07-26,-0.00001,0.00005884,0
2026-07-26T16,2026-07-26,-0.000018,0.00005819,0
2026-07-27T00,2026-07-27,-0.000005,0.00006147,0
2026-07-27T08,2026-07-27,0.000007,0.00006452,1
2026-07-27T16,2026-07-27,0.000062,0.0000504,1
2026-07-28T00,2026-07-28,0.000055,0.00004208,1
2026-07-28T08,2026-07-28,0.000053,0.00000125,1
2026-07-28T16,2026-07-28,0.000045,0.00006689,1
2026-07-29T00,2026-07-29,0.000033,0.0001,1
2026-07-29T08,2026-07-29,0.000017,0.0001,1
2026-07-29T16,2026-07-29,0.000031,0.00003665,1
2026-07-30T00,2026-07-30,0.000044,0.00008462,1
2026-07-30T08,2026-07-30,0.000079,0.00007278,1
2026-07-30T16,2026-07-30,-0.000049,0.00009029,0
2026-07-31T00,2026-07-31,0.000005,0.0001,1
2026-07-31T08,2026-07-31,0.0001,0.00009405,1
2026-07-31T16,2026-07-31,0.0001,0.00005664,1
2026-08-01T00,2026-08-01,0.00006,0.00004123,1
2026-08-01T08,2026-08-01,0.000022,0.00003163,1
2026-08-01T16,2026-08-01,0.000001,0.00003545,1
2026-08-02T00,2026-08-02,0.000075,0.0000453,1
2026-08-02T08,2026-08-02,0.000044,0.00008943,1
2026-08-02T16,2026-08-02,0.000092,0.00007707,1
2026-08-03T00,2026-08-03,0.000086,0.0001,1
2026-08-03T08,2026-08-03,0.0001,0.00006364,1
2026-08-03T16,2026-08-03,0.000007,0.00002474,1
2026-08-04T00,2026-08-04,0.000004,0.00003081,1
2026-08-04T08,2026-08-04,0.000031,0.00006248,1
2026-08-04T16,2026-08-04,0.000029,0.00007684,1
2026-08-05T00,2026-08-05,-0.000036,0.00001674,0
2026-08-05T08,2026-08-05,0.000002,0.00001015,1
2026-08-05T16,2026-08-05,-0.000032,0.00002676,0
