date,phase,dvol,dvol_daily_change_vol_pts,dvol_spike_marker,rv_forward_7d,vrp,net_pnl_pct,sleeve_return,cohort_week_index,is_cohort_anchor,price_source
2026-07-04,warmup,39.18,-0.28999999999999915,0,13.18091664019445,25.99908335980555,0.4646955244830656,0.4646955244830656,,0,deribit-tradingview
2026-07-05,warmup,38.67,-0.509999999999998,0,17.148636826230806,21.521363173769195,0.3747658874329224,0.3747658874329224,,0,deribit-tradingview
2026-07-06,warmup,37.26,-1.4100000000000037,0,17.967427183718574,19.292572816281425,0.33000330746314605,0.33000330746314605,,0,deribit-tradingview
2026-07-07,warmup,38.87,1.6099999999999994,0,30.03465362225513,8.835346377744866,0.11998246223449338,0.11998246223449338,,0,deribit-tradingview
2026-07-08,warmup,39.53,0.6600000000000037,0,30.039544040792492,9.490455959207509,0.13313955210195041,0.13313955210195041,,0,deribit-tradingview
2026-07-09,warmup,37.29,-2.240000000000002,0,30.437252585077317,6.852747414922682,0.08016434101767514,0.08016434101767514,,0,deribit-tradingview
2026-07-10,warmup,36.23,-1.0600000000000023,0,36.43942752014197,-0.20942752014197197,-0.06167096853907683,-0.06167096853907683,,0,deribit-tradingview
2026-07-11,live,36.78,0.5500000000000043,0,37.57893055902694,-0.7989305590269353,-0.07351042972117644,-0.07351042972117644,0,1,deribit-tradingview
2026-07-12,live,37.2,0.4200000000000017,0,36.01122371245834,1.188776287541664,-0.03358972278834094,-0.03358972278834094,0,0,deribit-tradingview
2026-07-13,live,37.78,0.5799999999999983,0,36.47635125316433,1.3036487468356697,-0.03128264728067915,-0.03128264728067915,0,0,deribit-tradingview
2026-07-14,live,36.48,-1.3000000000000043,0,33.857712417873095,2.6222875821269014,-0.004799368529191455,-0.004799368529191455,0,0,deribit-tradingview
2026-07-15,live,35.98,-0.5,0,33.92709573359798,2.0529042664020167,-0.016234749213590985,-0.016234749213590985,0,0,deribit-tradingview
2026-07-16,live,36.37,0.39000000000000057,0,27.91021642512113,8.459783574878866,0.11243973398260354,0.11243973398260354,0,0,deribit-tradingview
2026-07-17,live,36.33,-0.03999999999999915,0,30.908615373518046,5.421384626481952,0.05141713692641202,0.05141713692641202,0,0,deribit-tradingview
2026-07-18,live,35.72,-0.6099999999999994,0,31.298174266023253,4.421825733976746,0.031342195956774,0.031342195956774,1,1,deribit-tradingview
2026-07-19,live,36.11,0.39000000000000057,0,32.56038909650725,3.5496109034927485,0.013824807670702722,0.013824807670702722,1,0,deribit-tradingview
2026-07-20,live,36.26,0.14999999999999858,0,28.499843426709166,7.760156573290832,0.09838856514907583,0.09838856514907583,1,0,deribit-tradingview
2026-07-21,live,37.32,1.0600000000000023,0,30.100727512334768,7.219272487665233,0.08752555730454907,0.08752555730454907,1,0,deribit-tradingview
2026-07-22,live,38.01,0.6899999999999977,0,33.15371821841148,4.856281781588521,0.0400677243624584,0.0400677243624584,1,0,deribit-tradingview
2026-07-23,live,38.47,0.46000000000000085,0,33.525129481475545,4.9448705185244535,0.04184692284480733,0.04184692284480733,1,0,deribit-tradingview
2026-07-24,live,37.02,-1.4499999999999957,0,29.96714062893531,7.052859371064692,0.08418334953932531,0.08418334953932531,1,0,deribit-tradingview
2026-07-25,live,37.71,0.6899999999999977,0,30.323652716890503,7.386347283109497,0.09088105409539023,0.09088105409539023,2,1,deribit-tradingview
2026-07-26,live,37.34,-0.36999999999999744,0,27.68396150529272,9.656038494707282,0.13646507864239246,0.13646507864239246,2,0,deribit-tradingview
2026-07-27,live,37.45,0.10999999999999943,0,27.043654041029992,10.406345958970011,0.1515341037564626,0.1515341037564626,2,0,deribit-tradingview
2026-07-28,live,37.24,-0.21000000000000085,0,23.523889886743326,13.716110113256676,0.21800674535760026,0.21800674535760026,2,0,deribit-tradingview
2026-07-29,live,37.45,0.21000000000000085,0,23.77279532500764,13.677204674992364,0.21722537631330466,0.21722537631330466,2,0,deribit-tradingview
2026-07-30,live,35.55,-1.9000000000000057,0,24.184752782157005,11.365247217842992,0.17079248494032703,0.17079248494032703,2,0,deribit-tradingview
2026-07-31,live,35.64,0.09000000000000341,0,21.477566136386304,14.162433863613696,0.226970622332681,0.226970622332681,2,0,deribit-tradingview
2026-08-01,live,35.55,-0.09000000000000341,0,21.69387630807269,13.856123691927309,0.22081875008071972,0.22081875008071972,3,1,deribit-tradingview
2026-08-02,live,35.05,-0.5,0,16.39317740911108,18.65682259088892,0.3172350270327639,0.3172350270327639,3,0,deribit-tradingview
2026-08-03,live,34.76,-0.28999999999999915,0,,,,,3,0,deribit-tradingview
2026-08-04,live,34.04,-0.7199999999999989,0,,,,,3,0,deribit-tradingview
2026-08-05,live,34.66,0.6199999999999974,0,,,,,3,0,deribit-tradingview
2026-08-06,live,34.98,0.3200000000000003,0,,,,,3,0,deribit-tradingview
2026-08-07,live,33.94,-1.0399999999999991,0,,,,,3,0,deribit-tradingview
2026-08-08,live,34.23,0.28999999999999915,0,,,,,4,1,deribit-tradingview
2026-08-09,live,34.93,0.7000000000000028,0,,,,,4,0,deribit-tradingview
